lad,agemed_all,care_1to19hoursWeek,care_20to49hoursWeek,care_40PlushoursWeek,children_Kids,children_NoKids,children_NonDepKids,density_all,economic_employee,economic_self-employed,economic_student,economic_unemployed,ethnicity_asian,ethnicity_black,ethnicity_white,health_bad,health_good,hoursworked_Female1-15,hoursworked_Female49plus,hoursworked_Male1-15,hoursworked_Male49plus,household_Cohabiting,household_LoneParent,household_Married,household_OnePerson,marital_Married,marital_Seperated,marital_Single,population_all,religion_Buddhist,religion_Christian,religion_Hindu,religion_Jewish,religion_Muslim,religion_Noreligion,tenure_owned,tenure_rented_private,tenure_rented_social,travel_bus,travel_car_van,travel_foot,travel_home,travel_train_metro,welsh_SpeaksWelsh
E06000001,2,-0.6,0,0.3,-2.3,2.2,0.1,0.4,1.4,1.4,0.8,2.3,0.7,0.1,-1.1,-4.2,11.8,-0.9,0.1,1.1,-1.9,2.3,1.4,-4.9,2.6,-6.1,1.1,6.1,3.9,0.1,-10.8,0,0,0.3,12.9,-3,6.8,-3,-1.9,5.4,0.1,-4.1,1,1
E06000002,1,-0.8,0.1,0.1,-2.1,1.2,0.9,0.7,1.1,1.2,1.4,1.4,3,0.9,-5.6,-4.1,12.9,-1,-0.2,1.4,-1.9,2.5,1.3,-4.5,0.1,-5.3,0.7,6.2,2.6,0.2,-13.6,0.2,0,2.8,12.1,-3.8,8.8,-4.1,-3,0.5,3.2,-3.2,0.3,1
E06000003,4,-0.4,0.3,0.4,-2.8,2.8,0,-0.2,1.2,1.1,0.6,1.4,0.1,0,-0.4,-4.3,12.9,-1,0,1.2,-1.2,1.5,2.2,-5.5,3.5,-5.3,1.4,4.9,-2.8,0.1,-11.8,0,0,0,12.4,-2.7,6.3,-3.4,-0.2,4.9,-1.2,-5.5,1.8,1
E06000004,2,-0.6,0.2,0.2,-1.2,1,0.2,0.7,1.4,1.5,0.8,0.8,1.6,0.5,-2.6,-4.1,13,-0.4,-0.1,0.9,-2.2,3.3,1.7,-4.7,-0.3,-5.5,1.2,5.4,7.4,0.1,-13.4,0.2,0,0.7,12.4,-2.8,7.2,-4.2,-1.6,3.5,0.5,-3.9,1,1
E06000005,2,-0.2,0.2,0.2,-0.7,0.7,0,0.4,1.3,1,0.6,1.2,0.9,0.1,-1.6,-4.2,13.4,-0.6,-0.1,0.8,-2.4,2.4,1.6,-4.4,0.6,-4.9,1.4,5.2,7.9,0.2,-12.4,0.2,0,0.4,12.7,-6.6,9.1,-2.5,-3.2,3,2.5,-3.7,1.2,1
E06000006,2,-0.4,0.3,0.5,-2.8,2.8,-0.1,1,1.9,1.2,0.6,1,0.3,0.1,-0.9,-3.8,11.7,-0.4,0,1.2,-1.7,2.7,0.9,-5.5,2.4,-5.2,1.1,5.1,6.4,0.1,-8.8,0.1,0,0.1,10,-2,5.4,-2.2,0.3,1.3,0.3,-3.2,1.5,1
E06000007,3,-0.3,0.2,0.4,-1.3,1.8,-0.5,0.6,0.3,1.2,0.7,1.1,1.2,0.2,-1.9,-3.7,12,-0.1,-0.1,1.2,-2.6,2,1.5,-5.4,1.3,-4.9,1.5,4.4,5.8,0.1,-10.6,0.4,0,0.5,10.2,-3.9,6.4,-1.8,-0.3,1.3,1,-2.8,1.2,1
E06000008,1,-0.5,0.5,0.5,-1.1,0.2,0.9,0.7,-0.6,1.2,1.1,1.2,7.3,0.4,-8.8,-3.8,12,0.2,-0.3,1.5,-2.9,1.7,0.6,-2.7,0.4,-3.8,0.6,4.7,7.3,0.1,-10.7,0.1,0,7.6,5.8,-6,7.7,-0.8,-2,3,1.2,-3.6,1.2,1
E06000009,1,-0.3,0.4,0.5,0.2,-0.9,0.8,-0.1,0.8,-0.1,1,1.9,0.9,0.1,-1.7,-4.4,12.6,-0.2,-0.7,1.3,-2.9,2,1.1,-3.8,1.6,-5.9,1.1,6.8,-0.2,0.2,-11.5,0.1,0,0.3,13.1,-8.9,8.5,1.3,-0.9,4.1,1.5,-4.9,0,1
E06000010,1,-0.7,0.2,0.3,-1.7,1.5,0.2,1.8,1.4,1,1.2,1.8,1.4,0.8,-3.6,-4.2,12.9,-0.9,-0.2,1.3,-3.4,2.6,0.8,-4.3,1.7,-6.4,0.5,8,5.3,0.2,-16.9,0.1,0,1.3,16.5,-2.4,8.8,-5,1.7,-1.2,3.5,-2.5,-0.3,1
E06000011,3,-0.1,0.3,0.5,-2.1,2,0.1,0.1,0.2,0.8,0.5,0.5,0.3,0.1,-0.7,-3.4,11.3,-0.1,-0.1,1.1,-3.8,2.3,0.7,-4.2,0.5,-3.8,1.6,3,6.4,0.1,-11.6,0,0,0.1,11.5,-3,5.2,-1.5,0,10,-1.3,-7,1,1
E06000012,3,-0.6,0.3,0.6,-3.6,2.7,0.9,0.1,0.8,0.7,0.7,1,0.6,0.1,-1.2,-3.3,11.5,-0.7,-0.1,0.8,-3.2,2.4,0.6,-5.6,2.8,-6.5,1.3,6.5,1,0.1,-15,0.1,0,0.4,15.8,-6.1,8,-1.1,-0.9,4.5,2,-3.8,0.3,1
E06000013,2,-0.3,0.2,0.4,-1.7,1.2,0.4,0.2,1.1,0.7,0.6,1.2,0.9,0.1,-1.5,-3.9,13,-0.6,-0.1,1,-3.8,2.9,0.4,-5.1,0.3,-5.7,1.9,5.3,9.6,0.1,-13.4,0.1,0,0.7,12.6,-3.4,6.1,-1.7,-1,5.1,1.3,-3.8,0.3,1
