lad,agemed_all,care_1to19hoursWeek,care_20to49hoursWeek,care_40PlushoursWeek,children_Kids,children_NoKids,children_NonDepKids,density_all,economic_employee,economic_self-employed,economic_student,economic_unemployed,ethnicity_asian,ethnicity_black,ethnicity_white,health_bad,health_good,hoursworked_Female1-15,hoursworked_Female49plus,hoursworked_Male1-15,hoursworked_Male49plus,household_Cohabiting,household_LoneParent,household_Married,household_OnePerson,marital_Married,marital_Seperated,marital_Single,population_all,religion_Buddhist,religion_Christian,religion_Hindu,religion_Jewish,religion_Muslim,religion_Noreligion,tenure_owned,tenure_rented_private,tenure_rented_social,travel_bus,travel_car_van,travel_foot,travel_home,travel_train_metro,welsh_SpeaksWelsh
E06000001,38,6.43,1.66,3.02,32.2,57.69,10.11,9.44,47.56,4.29,1.85,5.47,0.68,0.08,98.82,12.3,64.2,6.99,1.87,1.37,10.34,8.12,11.91,35.98,30.53,51.02,11.29,28.27,88611,0.08,80.73,0.16,0.02,0.42,9.42,62.79,7.97,26.52,8.77,66.36,11.83,6.85,0.35,1
E06000002,36,6.25,1.53,3.05,33.26,56.35,10.39,25.03,45.01,3.94,2.99,6.16,4.76,0.35,93.73,11.67,65.2,7.98,1.88,2.05,9.59,7.35,13.66,33.83,30.89,46.81,10.88,33.23,134855,0.12,76.83,0.25,0.04,4.22,10.12,61.05,7.86,28,12.14,67.76,9.78,5.55,1.08,1
E06000003,39,7.07,1.54,2.97,30.95,58.14,10.91,5.68,47.94,4.78,1.86,5.2,0.59,0.07,98.94,12.13,63.41,8.04,2.01,1.54,10.14,8.44,10.13,38.3,27.91,52.9,10.66,26.97,139132,0.07,82.12,0.05,0.03,0.45,9.8,69.28,6.17,22.8,6.19,69.57,11.35,8.54,0.38,1
E06000004,37,6.66,1.38,2.61,32.82,56.48,10.7,8.75,51.93,4.88,2.24,4.98,1.9,0.14,97.24,10.41,66.88,6.61,2.12,1.68,10.89,7.72,10.66,40.05,28.08,53.19,10.76,27.75,178408,0.12,81.58,0.18,0.03,1.42,10.01,71.29,5.96,21.42,7.5,72.88,8.12,7.14,0.42,1
E06000005,39,6.72,1.18,2.38,29.49,61.42,9.09,4.95,53.4,6.26,1.94,3.98,1.17,0.23,97.86,10.03,66.36,6.42,2.5,1.75,10.93,7.92,10.37,36.77,31.77,51.91,12.12,26.57,97838,0.14,79.76,0.12,0.04,0.57,11.4,71.49,9.13,18.03,10.24,66.21,11.06,7.8,0.6,1
E06000006,37,6.72,1.6,3.13,34.01,53.6,12.39,14.95,52.43,4.62,2.08,4.53,0.43,0.11,98.79,11.65,66.52,5.68,2.04,1.28,9.64,7.97,13.56,38.92,27.32,50.33,11.14,30.3,118208,0.1,83.83,0.08,0.03,0.13,8.69,65.36,4.4,27.44,6.39,74.08,9.19,5.87,0.47,1
E06000007,37,7.1,1.21,2.15,32.2,57.14,10.66,10.58,57.02,6.57,2.35,2.92,1.22,0.19,97.86,9.06,70.59,5.95,2.62,1.45,11.63,8.48,9.2,42.4,27.49,54.74,10.32,27.01,191080,0.12,82.03,0.19,0.06,0.58,10.26,75.41,4.8,17.45,5.3,75.05,6.56,7.36,1.05,1
E06000008,34,6.47,1.33,2.37,36.04,54.82,9.14,10.03,48.57,6.5,2.14,4.13,20.8,0.23,77.93,11.13,66.65,5.05,2.29,1.77,9.31,7.53,11.82,36.9,29.97,51.61,11.37,28.82,137470,0.12,63.29,0.31,0.04,19.4,7.99,70.13,8.01,18.89,7.42,69.11,11.81,7.39,0.57,1
E06000009,41,6.37,1.39,3.09,26.1,65.5,8.4,40.79,46.51,9.7,2.11,4.16,0.76,0.15,98.41,13.85,61.05,5.27,3.58,1.96,10.69,8.2,11.73,28.21,36.38,45.36,15.23,28.5,142283,0.17,78.63,0.12,0.21,0.44,11.39,70.53,17.54,9.6,9.46,60.05,13.42,10.25,0.94,1
E06000010,35,5.57,1.23,2.63,30.13,60.5,9.37,34.09,49.02,4.2,2.45,6.23,1.09,0.36,97.68,11.24,65.17,7.03,1.78,1.57,10.98,9.87,12.12,30.57,33.66,44.16,12.75,34.18,243589,0.15,71.74,0.11,0.11,0.87,18.32,51.9,11.64,33.07,11.47,62.26,8.48,4.44,0.93,1
